title,price_ngn,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,total_rooms,price_per_room
7 Bedroom Detached Duplex With 2 Bq,2500000000,Wuse-2,Wuse,Wuse 2 Abuja,7,7,8,Detached Duplex,22,113636364.0
3 Bedroom Block Of Flat,300000000,Wuse-2,Wuse,Wuse 2 Abuja,3,3,4,Flat/Apartment,10,30000000.0
Newly Built 4 Bedroom Terrace Duplex With Bq,150000000,Gwarinpa,Gwarinpa,Gwarinpa Abuja,4,4,5,Terraced Duplex,13,11538462.0
2 Bedroom Flat,350000000,Gwarinpa,Gwarinpa,Gwarinpa Abuja,2,3,3,Flat/Apartment,8,43750000.0
4 Bedroom Detached Duplex,365000000,Gwarinpa,Gwarinpa,Gwarimpa In A Serene And Secured Estate Gwarinpa Abuja,4,4,5,Detached Duplex,13,28076923.0
4 Bedroom Terrace With Bq,210000000,Gwarinpa,Gwarinpa,Gwarimpa Gwarinpa Abuja,4,4,5,House,13,16153846.0
Newly Built 3 Bedroom Duplex,150000000,Gwarinpa,Gwarinpa,News Engineering Dawaki Gwarinpa Abuja,3,3,4,Detached Duplex,10,15000000.0
Newly Built 5 Bedroom Terrace Duplex With Bq,250000000,Gwarinpa,Gwarinpa,Trans Engineering Dawaki Gwarinpa Abuja,5,5,6,Terraced Duplex,16,15625000.0
Fully Furnished 6 Bedrooms With Bq,300000000,Gwarinpa,Gwarinpa,Dantata Estate Gwarinpa Abuja,6,6,7,House,19,15789474.0
4 Bedroom Terrace Duplex With Bq,280000000,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,4,4,5,Terraced Duplex,13,21538462.0
"7bedroom Detached Duplex, Bq & Swimming Pool",550000000,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,7,7,8,Detached Duplex,22,25000000.0
5 Bedroom Detached Duplex With Bq,400000000,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,5,5,6,Detached Duplex,16,25000000.0
Luxurious 5 Bedroom Terraced Duplex With Bq,250000000,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,5,5,6,Terraced Duplex,16,15625000.0
Distress 3 Bedrooms Flat Ensuite,65000000,Gwarinpa,Gwarinpa,Dawaki Opposite Gwarinpa Gwarinpa Abuja,3,4,4,Flat/Apartment,11,5909091.0
Newly Built 4 Bedroom Terraced Duplex With Bq,200000000,Gwarinpa,Gwarinpa,Gwarimpa 6avenue Gwarinpa Abuja,4,4,5,Terraced Duplex,13,15384615.0
7 Bedroom Detached Duplex With Penthouse,600000000,Gwarinpa,Gwarinpa,In An Estate At Gwarinpa Extension Gwarinpa Abuja,7,7,8,Detached Duplex,22,27272727.0
Newly Built 3 Bedroom Bungalow,155000000,Gwarinpa,Gwarinpa,Efab Verizon Estate Gwarinpa Abuja,3,3,4,Bungalow,10,15500000.0
3 Bedroom Semi Detached Duplex With Bq,270000000,Gwarinpa,Gwarinpa,News Engineering Dawaki Gwarinpa Abuja,3,3,4,Semi-Detached Duplex,10,27000000.0
3 Bedroom Apartment,102199875,Lugbe,Lugbe,"Airport Road, Lugbe Abuja",3,3,4,Flat/Apartment,10,10219988.0
4 Bedroom Bungalow,170000000,Lugbe,Lugbe,Fort Royal Estate Lugbe Abuja,4,4,5,Bungalow,13,13076923.0
2 Bedroom Apartment,36508320,Lugbe,Lugbe,"Airport Road Before Centenary City, Lugbe Abuja",2,2,3,Flat/Apartment,7,5215474.0
1 Bedroom Apartment,52080376,Lugbe,Lugbe,"Airport Road Before Centenary City, Lugbe Abuja",1,1,2,Flat/Apartment,4,13020094.0
4 Bedroom Fully Detached Duplex || Distress Sale,130000000,Lugbe,Lugbe,Back Of Glory Dome Lugbe Abuja,4,4,5,Detached Duplex,13,10000000.0
Newly Built & Distress 4 Bedroom Duplex,55000000,Lugbe,Lugbe,"Opposite River Park Estate, By Nut Hq Airport Road Abuja Sabon Lugbe Lugbe Abuja",4,4,5,Detached Duplex,13,4230769.0
Newly Built 3 Bedroom With A Bq,200000000,Lugbe,Lugbe,Cluster 3 River Park Estate Lugbe Abuja,3,3,4,House,10,20000000.0
Newly Built 2 Bedroom Flat,120000000,Lugbe,Lugbe,River Park Estate Lugbe Abuja,2,2,3,Flat/Apartment,7,17142857.0
Newly Built 5 Bedroom With A Gate House,250000000,Lugbe,Lugbe,Sally Best Estate Lugbe Abuja,5,5,6,House,16,15625000.0
Newly Built Luxury 7 Bedroom Semi Detached Duplex,1800000000,Jabi,Jabi,Jabi Abuja,7,7,8,Semi-Detached Duplex,22,81818182.0
Standard 3 Bedroom With A Bq,280000000,Jabi,Jabi,Jabi Abuja,3,4,5,Flat/Apartment,12,23333333.0
Standard 3 Bedroom Flat,120000000,Jabi,Jabi,"Lakeview Homes, Close To Shoprite Jabi Abuja",3,3,4,Flat/Apartment,10,12000000.0
A Newly Built 4 Bedroom With A Bq,330000000,Jabi,Jabi,Jabi Abuja,4,4,5,House,13,25384615.0
Pre Finished 3 Bedroom Flat,85000000,Jabi,Jabi,Main Jabi Abuja,3,3,4,Flat/Apartment,10,8500000.0
4 Bedroom Terraced Duplex With A Bq,250000000,Jabi,Jabi,By Jabi Airport Road Jabi Abuja,4,4,5,Terraced Duplex,13,19230769.0
Newly Built 2 Bedroom,75000000,Jabi,Kubwa,In A Very Beautiful Environment Of F01 Kubwa Abuja,2,2,3,Flat/Apartment,7,10714286.0
Newly Built 4 Bedroom Terrace Duplex With Bq,370000000,Jabi,Jabi,Jabi Abuja,4,4,5,Terraced Duplex,13,28461538.0
Newly Built 4 Bedroom,285000000,Jabi,Jabi,By Jabi Lake Jabi Abuja,4,4,5,House,13,21923077.0
Newly Built 4 Bedroom Terrace Duplex With Bq,330000000,Jabi,Jabi,Main Jabi Abuja,4,4,5,Terraced Duplex,13,25384615.0
Newly Built 4 Bedroom Flat,200000000,Jabi,Jabi,By The Apostolic Church Jabi Abuja,4,4,5,Flat/Apartment,13,15384615.0
5 Bedroom Terrace Duplex,400000000,Jabi,Jabi,Jabi District Jabi Abuja,5,5,6,Terraced Duplex,16,25000000.0
Newly Built Spacious 3 Bedroom Flat + 1bq,225000000,Jabi,Jabi,Jabi Abuja. Jabi Abuja,3,3,4,Flat/Apartment,10,22500000.0
Luxurious 6 Bedroom Detached Duplex With Bq,750000000,Katampe,Katampe,"Katampe Ext Diplomatic Zone, Katampe Extension Katampe Abuja",6,6,7,Detached Duplex,19,39473684.0
A Newly Built 5bedroom Fully Detached Duplex,350000000,Katampe,Katampe,Katampe Extension Katampe Abuja,5,5,6,Detached Duplex,16,21875000.0
Luxurious 7 Bedroom Detached Villa With Bq,1100000000,Katampe,Katampe,"Katampe Extention Diplomatic Zone, Katampe Extension Katampe Abuja",7,7,8,House,22,50000000.0
4 Bedroom Detached Duplex,550000000,Katampe,Katampe,"Katampe Extention Diplomatic Zone,area For People That Matters Katampe Extension Katampe Abuja",4,4,5,Detached Duplex,13,42307692.0
Fully Furnished 3 Bedroom,220000000,Katampe,Katampe,Katampe Extension Katampe Abuja,3,3,4,Flat/Apartment,10,22000000.0
6 Bedroom Semi Detached Duplex,450000000,Katampe,Katampe,Katampe Abuja,6,6,7,Semi-Detached Duplex,19,23684211.0
4 Bedroom Detached Duplex,290000000,Katampe,Katampe,"Ideal Homes Katampe Extension, Katampe Abuja",4,5,5,Detached Duplex,14,20714286.0
Newly Built 4 Bedroom Duplex In Katampe Extension,250000000,Katampe,Katampe,Pearls Court Katampe Extension Katampe Extension Katampe Abuja,4,4,5,Detached Duplex,13,19230769.0
New 6 Bedrooms Duplex (carcass),650000000,Katampe,Katampe,Katampe Extension Katampe Abuja,6,7,7,Detached Duplex,20,32500000.0
Carcass 5 Bedrooms Duplex,500000000,Katampe,Katampe,Katampe Extension Katampe Abuja,5,6,6,Detached Duplex,17,29411765.0
Newly Built 4 Bedroom Flat,350000000,Katampe,Katampe,Katampe Abuja,4,4,5,Flat/Apartment,13,26923077.0
Newly Built 3 Bedroom Flat,265000000,Katampe,Katampe,Katampe Extension Katampe Abuja,3,3,4,Flat/Apartment,10,26500000.0
A Newly Built 4bedroom Terraced Duplex With A Bq,350000000,Life-Camp,Life-Camp,Life Camp Abuja,4,4,5,Terraced Duplex,13,26923077.0
Newly Built Cornerpeice 4bedroom Terrace With Bq,270000000,Life-Camp,Life-Camp,Life Camp Life Camp Abuja,4,4,5,House,13,20769231.0
Newly Built 3 Bedroom Semi Detached With Bq,210000000,Life-Camp,Life-Camp,Life Camp Extention Life Camp Abuja,3,3,4,House,10,21000000.0
Exquisite Beautiful 4 Bedroom Terraced Duplex With Bq,230000000,Life-Camp,Life-Camp,Life Camp Abuja,4,4,5,Terraced Duplex,13,17692308.0
Newly Built 5 Bedroom Detached Duplex With Bq,580000000,Life-Camp,Life-Camp,Life Camp Abuja,5,5,6,Detached Duplex,16,36250000.0
Gated And Beautiful Spacious 4bedroom Terrace With Bq,260000000,Life-Camp,Life-Camp,Life Camp Life Camp Abuja,4,5,5,House,14,18571429.0
Beautiful 4 Bedroom Bungalow With Bq,270000000,Life-Camp,Life-Camp,Life Camp Abuja,4,4,5,Bungalow,13,20769231.0
Spacious 4 Bedroom Terraced Duplex With Bq,195000000,Life-Camp,Life-Camp,Life Camp Abuja,4,4,5,Terraced Duplex,13,15000000.0
4 Bedroom Detached Duplex With Bq,260000000,Life-Camp,Life-Camp,Life Camp Abuja,4,4,5,Detached Duplex,13,20000000.0
Newly Built 4 Bedroom Detached Bungalow With Bq,285000000,Life-Camp,Life-Camp,Life Camp Abuja,4,4,5,Bungalow,13,21923077.0
Beautiful And Clean 2bedroom Apartment,130000000,Life-Camp,Life-Camp,Life Camp Suitable For Nbnb Life Camp Abuja,2,2,3,Flat/Apartment,7,18571429.0
Newly Built 4 Bedroom With A Bq,250000000,Life-Camp,Life-Camp,By Godab Estate Life Camp Abuja,4,4,5,House,13,19230769.0
Newly Built 4 Bedroom Terrace Duplex,210000000,Life-Camp,Life-Camp,Life Camp Abuja,4,4,5,Terraced Duplex,13,16153846.0
Spacious 2 Bedroom Flat,60000000,Life-Camp,Life-Camp,Paradise Estate Phase 2 Life Camp Abuja,2,3,3,Flat/Apartment,8,7500000.0
Newly Built 3 Bedroom Flat With Bq,130000000,Life-Camp,Life-Camp,Life Camp Abuja,3,3,4,Flat/Apartment,10,13000000.0
Newly Built 2 Bedroom Apartment,125000000,Life-Camp,Life-Camp,Close To Berger Yard Life Camp Abuja,2,2,3,Flat/Apartment,7,17857143.0
4 Bedroom Terrace Duplex,230000000,Life-Camp,Life-Camp,Close To Stella Marris School Life Camp Abuja,4,4,5,Terraced Duplex,13,17692308.0
4 Bedroom Terraced Duplex With Bq,250000000,Life-Camp,Life-Camp,"Berger Clinic Axis, Life Camp Abuja",4,5,6,Terraced Duplex,15,16666667.0
Newly Built 4bedroom Terrace With Bq,400000000,Apo,Apo,Apo Legislative (national Assembly Quarters) Apo Abuja,4,4,5,House,13,30769231.0
Newly Built 1 Bedroom Flat,65000000,Apo,Apo,By Ceder Crest Hospital Apo Abuja,1,1,2,Flat/Apartment,4,16250000.0
5 Bedroom With Swimming Pool,580000000,Apo,Apo,Apo Resettlement Apo Abuja,5,5,6,House,16,36250000.0
Newly Built 4 Bedroom Terraced Duplex With Bq,245000000,Apo,Apo,Gudu Apo Abuja,4,4,5,Terraced Duplex,13,18846154.0
4 Bedroom Detached Bungalow With Bq,145000000,Apo,Apo,By Cedar Crest Hospital Apo Abuja,4,4,5,Bungalow,13,11153846.0
3 Bedroom Detached Bungalow With Bq,115000000,Apo,Apo,Wumba Apo Abuja,3,3,4,Bungalow,10,11500000.0
4 Bedroom Semi Detached Duplex With Bq,250000000,Apo,Apo,Apo Abuja,4,4,5,Semi-Detached Duplex,13,19230769.0
4 Bedroom Terrace Duplex With Bq,300000000,Apo,Apo,Apo Abuja,4,4,5,Terraced Duplex,13,23076923.0
Newly Built 5 Bedroom,220000000,Apo,Apo,Larinx Home Close To Chris Land School Apo Abuja,5,5,6,House,16,13750000.0
3 Bedroom Fully Detached Bungalow With Boys Quarters,170000000,Apo,Apo,"Estate By Ceder Crest Hospital, Apo Abuja",3,3,4,Bungalow,10,17000000.0
Newly Built 3 Bedroom Flat With Bq,170000000,Apo,Apo,Not Far From Gudu Junction Apo Abuja,3,3,4,Flat/Apartment,10,17000000.0
3 Bedroom Semi Detached Duplex With A Bq,160000000,Apo,Apo,Rockvale Manor Estate Apo Abuja,3,3,4,Semi-Detached Duplex,10,16000000.0
5 Bedroom Duplex With A Bq,490000000,Apo,Apo,Apo Resettlement Apo Abuja,5,5,6,Detached Duplex,16,30625000.0
3 Bedroom Flat,80000000,Apo,Apo,"In An Estate At Apo/wumba, Apo Abuja",3,3,4,Flat/Apartment,10,8000000.0
Newly Built 4 Bedroom Detached Duplex With A Bq,300000000,Apo,Apo,"Apo Resettlement By The New Express, Apo Abuja",4,4,5,Detached Duplex,13,23076923.0
4 Bedroom Terraced Duplex With A Bq,300000000,Apo,Apo,Apo Abuja,4,4,4,Terraced Duplex,12,25000000.0
A Newly Built 4 Bedroom Detached Duplex With A Bq,300000000,Karsana,Karsana,Karsana Abuja,4,4,5,Detached Duplex,13,23076923.0
Newly Built 1 Bedroom Bungalow With Bq,175000000,Karsana,Karsana,Efab Verizon Karsana West Karsana Abuja,3,3,4,Bungalow,10,17500000.0
Beautiful And Newly 6bedroom Detached Duplex,370000000,Karsana,Karsana,In An Estate Gwarimpa Extension Karsana Abuja,6,6,7,Detached Duplex,19,19473684.0
2 Bedroom Flat,670000000,Karsana,Karsana,Efab Metropolis Estate Karsana District Karsana Abuja,5,5,5,Flat/Apartment,15,44666667.0
Distress New 5 Bedroom Detached Duplex With Bq,330000000,Karsana,Karsana,"Karsana Efab Metropolis, Karsana Abuja",5,5,6,Detached Duplex,16,20625000.0
Bungalow,260000000,Karsana,Karsana,Efab Queens Karsana Abuja,3,3,4,Bungalow,10,26000000.0
Spacious 5 Bedroom Detached Duplex With Bq,550000000,Karsana,Karsana,"Karsana Efab Metropolis, Karsana Abuja",5,5,6,Detached Duplex,16,34375000.0
3 Bedroom Bungalow With Bq,165000000,Karsana,Karsana,"Efab Verizon,karsana District Karsana Abuja",3,3,4,Bungalow,10,16500000.0
Newly Built 5 Bedroom Detached Duplex With Bq,330000000,Karsana,Karsana,Efab Metropolis Estate Karsana Abuja,5,5,6,Detached Duplex,16,20625000.0
4 Bedroom Terrace Duplex,120000000,Karsana,Karsana,Karsana Abuja,4,4,5,Terraced Duplex,13,9230769.0
5 Bedroom Fully Detached Duplex With 2 Bq,220000000,Karsana,Karsana,Karsana Abuja,5,6,6,Detached Duplex,17,12941176.0
Standard 3 Bedroom Duplex,110000000,Karsana,Karsana,Karsana Abuja,3,3,4,Detached Duplex,10,11000000.0
5 Bedroom Detached Duplex With Bq,450000000,Karsana,Karsana,Karsana Abuja,5,5,6,Detached Duplex,16,28125000.0
Newly Built 5 Bedroom,170000000,Karsana,Karsana,In An Estate Karsana Abuja,5,5,6,House,16,10625000.0
Newly Built 2 Bedroom Flat,50000000,Karsana,Karsana,Opposite Belham Estate Karsana Abuja,2,2,3,Flat/Apartment,7,7142857.0
Newly Built 7 Bedroom Detached Apartment,650000000,Karsana,Karsana,Gwarimpa Karsana Abuja,7,6,6,Flat/Apartment,19,34210526.0
4 Bedroom Semi Detached Duplex,200000000,Karsana,Karsana,Karsana Abuja,4,4,5,Semi-Detached Duplex,13,15384615.0
Very Clean 3 Bedroom,170000000,Lokogoma,Lokogoma,Lokogoma Abuja,3,3,4,House,10,17000000.0
Newly Built 3 Bedroom With A Bq,120000000,Lokogoma,Lokogoma,Kabusa Garden Estate Lokogoma Abuja,3,3,4,House,10,12000000.0
Newly Built 4 Bedroom Fully Detached Duplex With Bq,400000000,Lokogoma,Lokogoma,Lokogoma Abuja,4,4,5,Detached Duplex,13,30769231.0
Newly Built 3 Bedroom Flat,110000000,Lokogoma,Lokogoma,Sahara 4 Estate Lokogoma Abuja,3,3,4,Flat/Apartment,10,11000000.0
Newly Built 4 Bedroom Detached Duplex With Bq,300000000,Lokogoma,Lokogoma,Main Lokogoma Abuja,4,4,5,Detached Duplex,13,23076923.0
5 Bedroom Detached Duplex With 1 Bq,475000000,Lokogoma,Lokogoma,"Close To Sunnyvale, Lokogoma Abuja",5,5,6,Detached Duplex,16,29687500.0
Luxurious 4bedroom Detached Duplex With 2bq,250000000,Lokogoma,Lokogoma,Main Lokogoma Abuja,4,4,5,Detached Duplex,13,19230769.0
4 Bedroom Detached Bungalow + 2 Bedroom Bungalow Bq,240000000,Lokogoma,Lokogoma,Close To Ebeano Suppermarket Lokogoma Abuja,4,4,5,Bungalow,13,18461538.0
4 Bedroom Detached Duplex With Bq,350000000,Lokogoma,Lokogoma,Lokogoma Abuja,4,4,5,Detached Duplex,13,26923077.0
Exquisitely Built 4 Bedroom Detached Duplex,200000000,Lokogoma,Lokogoma,Lokogoma Abuja,4,4,5,Detached Duplex,13,15384615.0
3 Bedroom Flat,150000000,Lokogoma,Lokogoma,Along Sunnyvale Estate Road Lokogoma Abuja,3,3,4,Flat/Apartment,10,15000000.0
4 Bedroom Semi Detached Flat With Maid Room,210000000,Lokogoma,Lokogoma,"Nelocap Estate, Lokogoma Abuja",4,4,5,Flat/Apartment,13,16153846.0
Standard 4 Bedroom Semi Detached Duplex With Bq,180000000,Lokogoma,Lokogoma,"Close To Sunnyvale Estate, Lokogoma Abuja",4,4,5,Semi-Detached Duplex,13,13846154.0
3 Bedroom Bungalow,100000000,Lokogoma,Lokogoma,"Very Close To Sunnyvale Estate, Lokogoma Abuja",3,3,4,Bungalow,10,10000000.0
Newly Built 3 Bedroom,110000000,Lokogoma,Lokogoma,Close To Sahara 4 Estate Lokogoma Abuja,3,3,4,House,10,11000000.0
Newly Built 3 Bedroom Flat,65000000,Lokogoma,Lokogoma,Lokogoma Abuja,3,3,4,Flat/Apartment,10,6500000.0
3 Bedroom Flat,60000000,Lokogoma,Lokogoma,Grenadine Estate Close To Ipent 3 Lokogoma Abuja,3,3,4,Flat/Apartment,10,6000000.0
Newly Built 2 Bedroom Duplex,95000000,Lokogoma,Lokogoma,By Urban Shelter Lokogoma Abuja,2,2,3,Detached Duplex,7,13571429.0
4 Bedroom Detached Duplex,235000000,Lokogoma,Lokogoma,Close To Ipent 3 Lokogoma Abuja,4,4,5,Detached Duplex,13,18076923.0
3 Bedroom Bungalow With Boys Quarters,180000000,Lokogoma,Lokogoma,"An Estate Opposite Sunnyvale Estate, Lokogoma Abuja",3,3,4,Bungalow,10,18000000.0
Standard 3 Bedroom Flat With A Bq,120000000,Galadimawa,Galadimawa,"Brains And Hammers Estate, Galadimawa Abuja",3,3,4,Flat/Apartment,10,12000000.0
Luxurious 4 Bedroom Detached Duplex With Bq/pool,480000000,Galadimawa,Galadimawa,"Close To Sunnyvale Estate, Galadimawa Abuja",5,5,6,Detached Duplex,16,30000000.0
Luxurious 4bedroom Detached Duplex +2rooms Bq,295000000,Galadimawa,Galadimawa,Gadimawa Galadimawa Abuja,4,5,6,Detached Duplex,15,19666667.0
Standard 3 Bedroom Penthouse,150000000,Galadimawa,Galadimawa,"Close To Standard Estate, Galadimawa Abuja",3,3,4,House,10,15000000.0
5 Bedroom Flat With A Bq,370000000,Galadimawa,Galadimawa,Galadimawa Abuja,5,4,6,Flat/Apartment,15,24666667.0
Newly Built 2 Bedroom Flat,80000000,Galadimawa,Galadimawa,"Close To Brains And Hammers Estate, Galadimawa Abuja",2,2,3,Flat/Apartment,7,11428571.0
Standard 4 Bedroom Duplex,120000000,Galadimawa,Galadimawa,Brains And Hammers Estate Galadimawa Abuja,4,4,5,Detached Duplex,13,9230769.0
Newly Built Serviced 3 Bedroom Flat,120000000,Galadimawa,Galadimawa,Tarred Road Galadimawa Abuja,3,3,4,Flat/Apartment,10,12000000.0
Newly Built 5 Bedroom With Bq,260000000,Galadimawa,Galadimawa,In An Estate Galadimawa Abuja,5,5,6,House,16,16250000.0
Newly Built 4 Bedroom Detached Duplex With Two Bq,170000000,Galadimawa,Galadimawa,Behind Suncity Estate Galadimawa Abuja,4,4,5,Detached Duplex,13,13076923.0
5 Bedroom Duplex With Bq For Sale Near Suncity Estate,250000000,Galadimawa,Galadimawa,"Behind Suncity Estate, Galadimawa Abuja",5,7,7,Detached Duplex,19,13157895.0
Carcass 4 Bedroom Duplex With Bq For Sale Near Suncity,180000000,Galadimawa,Galadimawa,"Behind Suncity Estate, Galadimawa Abuja",4,7,7,Detached Duplex,18,10000000.0
5 Bedroom Duplex With 2 Bq Rooms For Sale Near Suncity,300000000,Galadimawa,Galadimawa,"Behind Suncity Estate, Galadimawa Abuja",5,7,7,Detached Duplex,19,15789474.0
4 Bedroom Semi Detached Duplex,330000000,Galadimawa,Galadimawa,Opposite Suncity Galadimawa Abuja,5,5,6,Semi-Detached Duplex,16,20625000.0
3 Bedrooms Bungalow,170000000,Galadimawa,Galadimawa,Galadimawa Galadimawa Abuja,3,4,4,Bungalow,11,15454545.0
3 Bedroom Apartment With Bq,125000000,Galadimawa,Galadimawa,Galadimawa Abuja,3,3,4,Flat/Apartment,10,12500000.0
4 Bedroom Semi Detached Duplex With Bq,225000000,Galadimawa,Galadimawa,Galadimawa Abuja,4,4,5,Semi-Detached Duplex,13,17307692.0
4 Bedroom Terrace Duplex With Bq,185000000,Galadimawa,Galadimawa,Galadimawa Abuja,4,4,5,Terraced Duplex,13,14230769.0
5 Bedroom Detached Duplex With Bq,290000000,Galadimawa,Galadimawa,Galadimawa Abuja,5,5,6,Detached Duplex,16,18125000.0
4 Bedroom Terrace Duplex,120000000,Kubwa,Kubwa,Kubwa Abuja,4,4,5,Terraced Duplex,13,9230769.0
2 Bedroom Terrace Duplex,85000000,Kubwa,Kubwa,Kubwa Abuja,2,2,3,Terraced Duplex,7,12142857.0
3 Bedroom Terrace Duplex,95000000,Kubwa,Kubwa,Kubwa Abuja,3,3,4,Terraced Duplex,10,9500000.0
3 Bedroom Bungalow,85000000,Kubwa,Kubwa,"Kubwa, Abuja Kubwa Abuja",3,4,4,Bungalow,11,7727273.0
Newly Built 4 Bedroom Semi Detached Duplex,120000000,Kubwa,Kubwa,"Estate , F01 Fo1 Layout Kubwa Abuja",4,5,5,Semi-Detached Duplex,14,8571429.0
Newly Built 2 Bedroom Flat,75000000,Kubwa,Kubwa,F01 Tarred Road Kubwa Abuja,2,3,3,Flat/Apartment,8,9375000.0
Newly Built 2 Bedroom Flat,40000000,Kubwa,Kubwa,Estate Kubwa Fo1 Layout Kubwa Abuja,2,3,3,Flat/Apartment,8,5000000.0
Blocks Of Flats,180000000,Kubwa,Kubwa,Kubwa Abuja,6,10,10,Flat/Apartment,26,6923077.0
4 Bedroom Flat,130000000,Kubwa,Kubwa,Around Game Village Kubwa Abuja,4,4,5,Flat/Apartment,13,10000000.0
3 Bedrooms Bungalow,40000000,Kubwa,Kubwa,Kagini Opposite Arab Road Kubwa Abuja,3,4,4,Bungalow,11,3636364.0
2 Bedroom Flat,45000000,Kubwa,Kubwa,Kubwa F01 Kubwa Abuja,2,3,3,Flat/Apartment,8,5625000.0
Newly Built And Spacious 3 Bedroom Apartment,125000000,Dawaki,Dawaki,News Engineering Dawaki Dawaki Abuja,3,3,4,Flat/Apartment,10,12500000.0
2 Bedroom Apartment,100000000,Dawaki,Dawaki,New Engineering Dawaki Dawaki Abuja,2,2,3,Flat/Apartment,7,14285714.0
Spacious 2 Bedroom Flat,63000000,Dawaki,Dawaki,"Dawaki Opposite Gwarinpa, Dawaki Abuja",2,3,3,Flat/Apartment,8,7875000.0
5 Bedrooms Duplex Duplex,140000000,Dawaki,Dawaki,Dawaki Dawaki Abuja,5,6,6,Detached Duplex,17,8235294.0
3 Bedroom Apartment,65000000,Dawaki,Dawaki,Dawaki Abuja,3,3,4,Flat/Apartment,10,6500000.0
5 Bedroom Terrace Duplex,250000000,Dawaki,Dawaki,Dawaki Dawaki Abuja,5,5,6,Terraced Duplex,16,15625000.0
4 Bedroom Terrace Duplex With Bq,300000000,Dawaki,Dawaki,Dawaki Abuja,4,4,5,Terraced Duplex,13,23076923.0
